Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Angle,Reps
0,839,429,810,664,817,877,171,0
1,818,428,805,664,817,878,174,0
2,809,426,802,662,818,878,174,0
3,805,424,800,659,819,877,174,0
4,804,423,800,658,821,876,174,0
5,803,421,800,656,821,876,174,0
6,801,418,799,653,820,875,174,0
7,800,417,798,651,820,875,174,0
8,801,415,798,650,820,874,174,0
9,802,415,798,650,820,874,173,0
10,803,415,798,650,820,874,173,0
11,803,415,798,650,820,874,173,0
12,803,415,798,650,820,874,173,0
13,804,415,798,649,820,874,173,0
14,805,416,798,650,820,875,173,0
15,807,419,799,653,821,880,173,0
16,807,423,795,657,822,885,170,0
17,808,425,789,657,822,884,167,0
18,811,425,784,657,822,880,164,0
19,813,426,775,656,822,876,159,0
20,813,426,769,654,829,869,153,0
21,815,425,765,647,835,854,149,0
22,815,425,761,646,845,847,144,0
23,815,425,756,644,857,826,136,0
24,814,425,752,643,871,810,129,0
25,813,425,749,643,886,793,121,0
26,807,425,741,642,889,766,113,0
27,799,422,736,639,895,747,108,0
28,794,419,727,632,892,718,100,0
29,792,419,726,630,897,696,94,0
30,789,416,722,628,904,674,87,0
31,785,414,723,628,908,649,80,0
32,781,412,721,629,909,622,72,0
33,781,414,722,629,908,599,65,0
34,781,414,724,629,913,574,59,0
35,781,414,724,626,914,554,54,0
36,780,414,726,624,915,534,50,0
37,780,412,732,622,920,510,46,1
38,781,410,738,620,919,504,46,1
39,781,409,741,617,918,501,46,1
40,782,408,743,615,917,498,45,1
41,782,408,743,616,917,497,45,1
42,782,408,745,616,918,496,45,1
43,781,408,746,616,920,500,47,1
44,777,409,747,617,924,501,49,1
45,774,409,747,617,925,500,49,1
46,772,410,747,618,927,502,50,1
47,769,410,747,618,926,505,52,1
48,767,410,747,617,926,506,53,1
49,766,412,745,618,925,517,55,1
50,767,412,743,618,925,528,57,1
51,767,412,742,618,925,546,62,1
52,764,412,742,619,925,561,66,1
53,762,412,740,619,925,572,70,1
54,762,413,740,625,927,584,72,1
55,763,414,740,629,938,597,75,1
56,762,414,740,631,946,609,78,1
57,762,414,740,632,949,623,82,1
58,764,413,741,632,950,638,86,1
59,768,412,742,632,951,654,89,1
60,770,412,743,632,950,669,93,1
61,773,412,745,633,949,684,97,1
62,777,412,748,633,947,698,101,1
63,783,412,752,633,942,716,106,1
64,786,412,755,634,937,729,110,1
65,790,412,758,634,932,745,114,1
66,791,411,761,634,928,761,120,1
67,792,412,769,639,928,774,125,1
68,794,412,768,640,914,791,129,1
69,796,412,771,643,908,809,134,1
70,798,414,773,645,899,822,138,1
71,801,414,774,645,888,830,142,1
72,804,414,775,645,878,839,145,1
73,805,414,778,644,869,845,149,1
74,806,416,779,645,860,858,152,1
75,808,418,780,648,854,868,154,1
76,811,419,784,654,849,875,157,1
77,813,419,786,656,839,875,160,1
78,815,419,787,659,825,874,163,1
79,816,419,788,661,821,883,165,1
80,818,419,789,662,811,886,168,1
81,823,419,790,661,805,880,168,1
82,824,419,790,660,797,876,170,1
83,828,419,790,661,793,874,170,1
84,829,419,790,661,788,873,171,1
85,830,420,790,662,785,872,172,1
86,829,420,788,662,780,872,173,1
87,829,420,786,660,778,871,172,1
88,829,419,785,657,777,871,172,1
89,828,417,784,655,777,870,171,1
90,826,416,782,655,780,873,170,1
91,821,416,780,655,781,875,170,1
92,814,415,775,654,784,877,168,1
93,811,414,772,654,790,877,166,1
94,811,414,768,651,801,877,161,1
95,811,414,765,648,814,874,157,1
96,811,415,762,645,829,869,151,1
97,810,419,758,642,834,855,147,1
98,809,420,754,639,846,843,142,1
99,808,423,755,642,868,832,136,1
100,805,424,751,642,878,806,128,1
101,797,424,747,643,890,791,123,1
102,792,424,744,643,903,770,116,1
103,786,424,741,643,909,740,108,1
104,784,424,739,642,910,715,101,1
105,783,423,736,642,920,694,94,1
106,780,422,736,643,929,673,88,1
107,778,422,736,644,937,649,81,1
108,779,422,737,642,939,621,73,1
109,779,419,741,640,943,592,67,1
110,780,417,744,636,939,567,61,1
111,781,414,752,632,941,548,58,1
112,782,412,754,630,937,535,55,1
113,783,411,764,627,940,507,51,1
114,784,411,771,627,939,496,49,1
115,785,411,771,627,938,496,48,2
116,787,412,771,627,937,494,47,2
117,787,413,770,627,936,496,47,2
118,786,414,770,626,936,496,48,2
119,785,414,769,626,936,495,48,2
120,781,414,769,626,936,498,49,2
121,780,414,768,626,936,497,49,2
122,778,415,768,625,936,498,50,2
123,778,415,767,625,936,500,51,2
124,778,416,767,625,936,498,50,2
125,777,416,766,625,936,497,50,2
126,777,416,766,625,937,498,50,2
127,777,416,766,625,938,498,51,2
128,777,417,766,626,940,499,51,2
129,777,417,765,628,938,518,54,2
130,776,417,763,631,938,534,58,2
131,776,417,763,631,940,544,60,2
132,775,417,760,632,940,564,65,2
133,772,417,757,634,943,581,70,2
134,768,417,756,635,948,596,75,2
135,768,416,754,636,950,613,80,2
136,768,416,754,640,959,634,85,2
137,769,415,754,640,959,654,90,2
138,773,415,754,640,958,674,95,2
139,776,414,754,639,951,693,100,2
140,781,413,755,640,951,720,106,2
141,788,413,760,641,950,737,110,2
142,791,413,765,641,943,759,117,2
143,797,412,773,641,935,774,123,2
144,802,412,779,644,924,798,131,2
145,806,413,786,650,919,819,137,2
146,808,414,790,653,909,835,143,2
147,813,414,793,654,900,843,146,2
148,818,414,797,654,892,852,149,2
